,countryCode,elevation_DEM,genus,lat,lon,species,bio1,bio3,bio4,bio7,bio12,bio15,.geo,geometry
19708,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19709,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19710,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19711,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19712,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19713,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19714,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19715,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19716,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19717,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19718,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
